Leave,Equity
?A,26.1
?B,21.4
?C,24.9
?D,24.8
?E,27.2
?F,21.0
?G,21.7
?H,25.2
?I,25.5
?J,21.2
?K,23.8
?L,23.8
?M,24.6
?N,25.7
?O,23.6
?P,23.7
?Q,16.1
?R,26.6
?S,32.8
?T,25.6
?U,20.7
?V,17.7
?W,19.6
?X,25.5
?Y,23.1
?Z,31.4
